District_ID,Distance_to_Path_km,Predicted_Wind_kt,Vulnerability_Index,Risk_Zone,Estimated_Damage_M
1,52.19822113306715,36.27301756819384,72.16297670559115,Yellow,261.84048
2,257.11022852688166,125.52583440796853,95.77175502870215,Yellow,1193.9971
3,118.6083438532712,122.08845522881882,72.97175864291972,Orange,910.18713
4,160.69230477738517,80.3740761678193,54.26430230922513,Yellow,406.8264
5,39.82554773844355,144.1508664895303,51.327130391397056,Red,696.256
6,53.03819970807659,135.06833082702298,68.2674235872482,Red,926.9492
7,244.34391114591844,78.17258960927285,13.195149426160253,Yellow,112.04222
8,265.39512295771965,36.65448788706549,53.78853380232298,Yellow,201.30931
9,137.77033873366003,84.05435839628146,73.75159895478019,Yellow,612.3031
10,22.38232589657342,70.2813639796992,35.44406061161553,Orange,250.00981
11,126.06982942041252,42.635585222609095,43.181977801767836,Yellow,194.5929
12,178.28011175906911,111.86578395940418,27.680761764331322,Yellow,310.4164
13,237.53075899381642,54.55384276901424,67.55146367255095,Yellow,368.36945
14,159.98023900962215,91.84464191571702,63.61806490999027,Yellow,598.128
15,151.75979941614818,115.56039077328725,37.28876327904933,Yellow,485.5111
16,198.17336754909493,81.6665675572606,81.34175522366868,Yellow,636.4658
17,36.55153198007124,65.38998139452042,91.52234720495753,Orange,602.7032
18,53.62412684069235,116.67860543292319,28.16761263140445,Orange,328.0011
19,92.52922281016382,104.77405999029368,78.34131572400747,Orange,921.7386
20,35.40726048124526,51.13922036424927,98.98477715471994,Orange,363.3865
21,282.941727700514,115.17994393143502,59.949892367944436,Yellow,689.729
22,16.46036547186128,138.53331319530918,78.20426735096338,Red,1011.34265
23,293.7482817273901,31.838341622303975,75.21364463207742,Yellow,244.05951
24,185.4509551033244,42.55601793421934,81.57603947570271,Yellow,348.6086
25,156.15533502841757,66.06285772979962,35.0705715552034,Yellow,230.86697
26,134.60773510782752,92.25416136558479,68.15368194113907,Yellow,617.1008
27,240.68428418481824,40.07220733298885,70.28446247492715,Yellow,327.5664
28,57.82493565940739,79.15103435432209,46.21260253293718,Orange,373.3412
29,62.590668493942076,91.10707743763427,29.557993885202492,Orange,277.80362
30,224.29281240125823,76.36382542258502,95.40349735359044,Yellow,724.2012
31,233.4255845144708,110.14044636214976,87.38874145439445,Yellow,963.4097
32,220.09387719650704,146.04739924410364,82.60534060827285,Yellow,1064.3342
33,82.37769830919086,131.2891492114236,42.36830108597182,Orange,558.0697
34,158.755816270907,145.77024421083408,39.257807173911516,Orange,576.35364
35,84.60198408345559,111.96667373530626,19.831203768096984,Orange,219.76689
36,85.18913402841466,98.36887819716752,23.8419529082443,Yellow,191.90944
37,133.36538529674655,125.38648559332174,71.05871198930325,Orange,899.57214
38,278.511426179908,56.90584262772391,99.33302374437947,Yellow,573.8953
39,215.24670001178742,39.73023153490712,22.039527263577053,Yellow,85.903435
40,168.52829913790836,37.258415092975056,50.12539388852309,Yellow,187.47685
41,117.15313195808793,113.70813657563403,61.10884900460826,Orange,687.27637
42,136.74678038439544,48.4676146619534,74.07142694346895,Yellow,349.46457
43,254.0791727257268,33.50241552480255,97.18646889638822,Yellow,328.74133
44,136.52199109068724,44.64553553971666,50.76389316386245,Yellow,229.0076
45,176.1279487333508,126.07993824466303,85.43409833601407,Yellow,1080.315
